rank,ResNet18,MobileNetV3Large,Fusion_ResNet18_MobileNetV3Large
210,0.9761832981609888,0.9882423876997287,0.9861320470304492
211,0.9782936388302683,0.9891468194151342,0.9879409104612602
212,0.9788965933072054,0.9897497738920712,0.9885438649381971
213,0.9807054567380162,0.9903527283690081,0.9897497738920712
214,0.9825143201688272,0.9915586373228821,0.9906542056074766
215,0.9843231835996382,0.9918601145613506,0.9918601145613506
216,0.9852276153150437,0.9918601145613506,0.9924630690382876
217,0.9861320470304492,0.9930660235152245,0.9927645462767561
218,0.9870364787458547,0.9957793186614411,0.9930660235152245
219,0.9885438649381971,0.9972867048537836,0.9939704552306301
220,0.9903527283690081,0.998191136569189,0.9948748869460355
221,0.9927645462767561,0.998191136569189,0.9948748869460355
222,0.9954778414229726,0.999397045523063,0.9966837503768465
223,0.996382273138378,0.999397045523063,0.9984926138076575
224,0.9978896593307205,0.9996985227615315,0.998794091046126
225,0.9984926138076575,1.0,0.9996985227615315
226,0.9990955682845946,1.0,0.9996985227615315
227,1.0,1.0,1.0
